x,y1,y2
154,7,1078
132,3.09,407.88
122,47,5734
6,2.48,14.88
168,8.08,1357.44
51,16.8,856.8
45,10.8,486
142,5.99,850.58
28,9.93,278.04
67,2.99,200.33
300,5.99,1797
73,16.8,1226.4
11,44.24,486.64
6,8.4,50.4
110,1.4,154
14,44.24,619.36
200,1.4,280
115,4.88,561.2
3,155.8,467.4
100,9.83,983
22,6.56,144.32
20,41.23,824.6
150,9.83,1474.5
52,6.56,341.12
31,41,1271
150,5.94,891
100,2.41,241
41,173.8,7125.8
13,1.37,17.81
70,2.68,187.6
104,5.2,540.8
18,2.98,53.64
130,1.22,158.6
204,9.4,1917.6
100,1.22,122
200,9.4,1880
167,9.4,1569.8
191,1.01,192.91
24,10.73,257.52
12,4.14,49.68
53,14.8,784.4
100,3.1,310
117,3.1,362.7
9,12.1,108.9
25,2.79,69.75
7,41,287
62,14.14,876.68
23,11.53,265.19
122,47,5734
60,1.47,88.2
42,7.05,296.1
174,3,522
50,7.94,397
180,8,1440
6,2.48,14.88
32,2.88,92.16
170,6.17,1048.9
9,5.12,46.08
48,27.41,1315.68
131,14.1,1847.1
193,2.79,538.47
107,4.98,532.86
65,6.12,397.8
31,41,1271
245,7.12,1744.4
11,2.41,26.51
41,173.8,7125.8
13,1.37,17.81
170,6.17,1048.9
4,9.4,37.6
168,8.08,1357.44
114,1.83,208.62
11,2.88,31.68
90,6.87,618.3
197,6.87,1353.39
28,24.88,696.64
29,137.8,3996.2
255,10.12,2580.6
128,3.94,504.32
27,9,243
204,4.82,983.28
231,2.3,531.3
136,39.4,5358.4
183,14.12,2583.96
253,6.87,1738.11
33,2.8,92.4
22,28.15,619.3
35,36.18,1266.3
62,5.3,328.6
45,3.99,179.55
16,21.4,342.4
210,5,1050
87,5.12,445.44
122,18,2196
18,12.5,225
134,6.87,920.58
46,10.6,487.6
36,8.42,303.12
33,40.24,1327.92
45,3.9,175.5
42,3.12,131.04
215,5.84,1255.6
9,5.12,46.08
204,10.12,2064.48
129,2.99,385.71
12,4.14,49.68
25,3.1,77.5
100,40.24,4024
100,40.24,4024
53,14.8,784.4
75,38.7,2902.5
154,7,1078
132,3.09,407.88
130,3.09,401.7
122,47,5734
6,2.48,14.88
168,8.08,1357.44
30,38.7,1161
208,6.87,1428.96
64,10.73,686.72
11,15.87,174.57
84,5.07,425.88
173,3.49,603.77
57,3.32,189.24
150,5.94,891
221,5.94,1312.74
300,5.94,1782
275,5.94,1633.5
18,6.43,115.74
20,21.12,422.4
20,21.12,422.4
237,3.21,760.77
175,4.12,721
167,3.22,537.74
216,27.6,5961.6
216,27.6,5961.6
31,1.63,50.53
250,1.63,407.5
250,1.63,407.5
180,5.18,932.4
47,3.99,187.53
44,3.99,175.56
56,3.99,223.44
31,3.99,123.69
60,3.99,239.4
39,3.99,155.61
45,3.99,179.55
80,3.99,319.2
25,3.99,99.75
215,5.84,1255.6
300,3.99,1197
231,2.3,531.3
136,39.4,5358.4
183,14.12,2583.96
183,14.12,2583.96
33,2.8,92.4
